,State,Party.1
0,Alabama,Republican
1,Alaska,Republican
2,Arizona,Republican
3,Arkansas,Republican
4,California,Democratic
5,Colorado,Democratic
6,Connecticut,Democratic
7,Delaware,Democratic
8,Florida,Republican
9,Georgia,Republican
10,Hawaii,Democratic
11,Idaho,Republican
12,Illinois,Democratic
13,Indiana,Republican
14,Iowa,Republican
15,Kansas,Democratic
16,Kentucky,Democratic
17,Louisiana,Democratic
18,Maine,Democratic
19,Maryland,Republican
20,Massachusetts,Republican
21,Michigan,Democratic
22,Minnesota,Democratic
23,Mississippi,Republican
24,Missouri,Republican
25,Montana,Democratic
26,Nebraska,Republican
27,Nevada,Democratic
28,New Hampshire,Republican
29,New Jersey,Democratic
30,New Mexico,Democratic
31,New York,Democratic
32,North Carolina,Democratic
33,North Dakota,Republican
34,Ohio,Republican
35,Oklahoma,Republican
36,Oregon,Democratic
37,Pennsylvania,Democratic
38,Rhode Island,Democratic
39,South Carolina,Republican
40,South Dakota,Republican
41,Tennessee,Republican
42,Texas,Republican
43,Utah,Republican
44,Vermont,Republican
45,Virginia,Democratic
46,Washington,Democratic
47,West Virginia,Republican
48,Wisconsin,Democratic
49,Wyoming,Republican
